,IsoForest_Outlier,OCSVM_Outlier,LOF_Outlier,IsoForest_Score,OCSVM_Score,LOF_Score
CTRL01_00 (F247),True,False,True,-0.01393123513461575,0.0001743110036320772,-0.11668763647754465
CTRL49_00 (F299),True,True,False,-0.009232187333758357,-0.0001650924062035486,0.06766024082647948
CTRL07_00 (F256),True,True,False,-0.014249567917712536,-7.64536471464794e-05,0.014292592181593955
CTRL82 (F333),False,True,True,0.005127870626658426,-0.00011606736494496062,-0.03099715228311939
CTRL97 (F350),False,True,True,0.06384175365233552,-7.64487283815285e-05,-0.06873414847416526
CTRL03_00 (F250),False,False,True,0.00529805859612964,0.0003074726700100783,-0.030998581925034685
CTRL02_00 (F249),False,False,True,0.0039006275661211953,0.0004966775664527745,-0.013387477574176243
CTRL55 (F306),True,False,False,-0.006387830582654963,0.001268383255292882,0.11362133011652165
CTRL04_00 (F251),False,True,False,0.0003792161703385366,-2.0227504506920013e-06,0.021713824813750948
CTRL65 (F316),True,False,False,-0.0026613667255514506,0.000127103557326258,0.07672214724696436
CTRL64 (F315),False,True,False,0.009978311576375964,-0.00014806677037881855,0.06439119164121099
