Model_Name,Accuracy,Balanced_Accuracy,AUC,Classification_Error,Sensitivity,Specificity,Precision,TP,TN,FP,FN,Optimized_LVs
Random_KFold_CV_Fold_1_PLSDA,0.9473684210526315,0.9472222222222222,0.9916666666666667,0.052631578947368474,0.95,0.9444444444444444,0.95,19,17,1,1,10
Random_KFold_CV_Fold_2_PLSDA,0.9736842105263158,0.9761904761904762,1.0,0.02631578947368418,0.9523809523809523,1.0,1.0,20,17,0,1,3
Random_KFold_CV_Fold_3_PLSDA,0.918918918918919,0.9318181818181819,0.9757575757575758,0.08108108108108103,1.0,0.8636363636363636,0.8333333333333334,15,19,3,0,2
Random_KFold_CV_Fold_4_PLSDA,0.9459459459459459,0.9411764705882353,1.0,0.05405405405405406,0.8823529411764706,1.0,1.0,15,20,0,2,4
Random_KFold_CV_Fold_5_PLSDA,0.972972972972973,0.975,1.0,0.027027027027026973,0.95,1.0,1.0,19,17,0,1,2
Stratified_KFold_CV_Fold_1_PLSDA,0.9736842105263158,0.9736842105263157,0.9806094182825486,0.02631578947368418,1.0,0.9473684210526315,0.95,19,18,1,0,7
Stratified_KFold_CV_Fold_2_PLSDA,0.9473684210526315,0.9473684210526316,1.0,0.052631578947368474,0.8947368421052632,1.0,1.0,17,19,0,2,4
Stratified_KFold_CV_Fold_3_PLSDA,0.972972972972973,0.9722222222222222,1.0,0.027027027027026973,0.9444444444444444,1.0,1.0,17,19,0,1,3
Stratified_KFold_CV_Fold_4_PLSDA,0.972972972972973,0.9722222222222222,1.0,0.027027027027026973,0.9444444444444444,1.0,1.0,17,19,0,1,3
Stratified_KFold_CV_Fold_5_PLSDA,0.972972972972973,0.9722222222222222,1.0,0.027027027027026973,1.0,0.9444444444444444,0.95,19,17,1,0,4
Duplex_PLSDA,0.9787234042553191,0.9827586206896552,0.9865900383141764,0.021276595744680882,0.9655172413793104,1.0,1.0,28,18,0,1,9
