Model_Name,Accuracy,Balanced_Accuracy,AUC,Classification_Error,Sensitivity,Specificity,Precision,TP,TN,FP,FN
Random_KFold_CV_Fold_1_SVM,0.8947368421052632,0.8972222222222221,0.9888888888888888,0.10526315789473684,0.85,0.9444444444444444,0.9444444444444444,17,17,1,3
Random_KFold_CV_Fold_2_SVM,0.9473684210526315,0.9467787114845938,0.9943977591036415,0.052631578947368474,0.9523809523809523,0.9411764705882353,0.9523809523809523,20,16,1,1
Random_KFold_CV_Fold_3_SVM,0.918918918918919,0.9212121212121211,0.9727272727272727,0.08108108108108103,0.9333333333333333,0.9090909090909091,0.875,14,20,2,1
Random_KFold_CV_Fold_4_SVM,0.9459459459459459,0.9411764705882353,1.0,0.05405405405405406,0.8823529411764706,1.0,1.0,15,20,0,2
Random_KFold_CV_Fold_5_SVM,1.0,1.0,1.0,0.0,1.0,1.0,1.0,20,17,0,0
Stratified_KFold_CV_Fold_1_SVM,0.9473684210526315,0.9473684210526315,0.9750692520775623,0.052631578947368474,0.9473684210526315,0.9473684210526315,0.9473684210526315,18,18,1,1
Stratified_KFold_CV_Fold_2_SVM,0.9736842105263158,0.9736842105263157,0.997229916897507,0.02631578947368418,0.9473684210526315,1.0,1.0,18,19,0,1
Stratified_KFold_CV_Fold_3_SVM,0.972972972972973,0.9722222222222222,0.9970760233918129,0.027027027027026973,0.9444444444444444,1.0,1.0,17,19,0,1
Stratified_KFold_CV_Fold_4_SVM,0.9459459459459459,0.9444444444444444,0.9941520467836258,0.05405405405405406,0.8888888888888888,1.0,1.0,16,19,0,2
Stratified_KFold_CV_Fold_5_SVM,0.972972972972973,0.9722222222222222,0.9970760233918128,0.027027027027026973,1.0,0.9444444444444444,0.95,19,17,1,0
Duplex_SVM,0.9361702127659575,0.9377394636015326,0.9789272030651341,0.06382978723404253,0.9310344827586207,0.9444444444444444,0.9642857142857143,27,17,1,2
